date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:12	45/45	---M-Z	200	added ('OK')	application/javascript	etag:%22ce411ff2caefd71:0%22	https://www.ruyile.com/xy_m/ryl/js/bot_dt.js	C:/Users/dujunda/Documents/WebDev/ga/web/images/bot_dt.js	(from https://www.ruyile.com/school/r5922/)
11:25:12	396/396	---M--	200	added ('OK')	image/jpeg	etag:%2275892ac066fd61:0%22	https://www.ruyile.com/xy_m/zhongxue/def/img/bg.jpg	C:/Users/dujunda/Documents/WebDev/ga/web/images/bg.jpg	(from https://www.ruyile.com/xy_m/zhongxue/def/css/zhongxue.css)
11:25:13	365/365	---M--	200	added ('OK')	image/png	etag:%223e1a2fc066fd61:0%22	https://www.ruyile.com/xy_m/zhongxue/def/img/top_0.png	C:/Users/dujunda/Documents/WebDev/ga/web/images/top_0.png	(from https://www.ruyile.com/xy_m/zhongxue/def/css/zhongxue.css)
11:25:13	17987/17987	---M--	200	added ('OK')	image/jpeg	etag:%2240f32ec066fd61:0%22	https://www.ruyile.com/xy_m/zhongxue/def/img/top.jpg	C:/Users/dujunda/Documents/WebDev/ga/web/images/top.jpg	(from https://www.ruyile.com/xy_m/zhongxue/def/css/zhongxue.css)
11:25:13	423/423	---M--	200	added ('OK')	image/jpeg	etag:%228b92ec066fd61:0%22	https://www.ruyile.com/xy_m/zhongxue/def/img/menu_m.jpg	C:/Users/dujunda/Documents/WebDev/ga/web/images/menu_m.jpg	(from https://www.ruyile.com/xy_m/zhongxue/def/css/zhongxue.css)
11:25:14	7323/7323	---M--	200	added ('OK')	image/jpeg	etag:%22da5129c066fd61:0%22	https://www.ruyile.com/xy_m/zhongxue/def/img/bottom.jpg	C:/Users/dujunda/Documents/WebDev/ga/web/images/bottom.jpg	(from https://www.ruyile.com/xy_m/zhongxue/def/css/zhongxue.css)
11:25:14	57/57	---M--	200	added ('OK')	image/gif	etag:%223e1a2fc066fd61:0%22	https://www.ruyile.com/xy_m/zhongxue/def/img/zsbtbg.gif	C:/Users/dujunda/Documents/WebDev/ga/web/images/zsbtbg.gif	(from https://www.ruyile.com/xy_m/zhongxue/def/css/zhongxue.css)
11:25:15	44/44	---M--	200	added ('OK')	image/gif	etag:%22b1942dc066fd61:0%22	https://www.ruyile.com/xy_m/zhongxue/def/img/li_d.gif	C:/Users/dujunda/Documents/WebDev/ga/web/images/li_d.gif	(from https://www.ruyile.com/xy_m/zhongxue/def/css/zhongxue.css)
11:25:15	311/311	---M--	200	added ('OK')	image/jpeg	etag:%22ee832cc066fd61:0%22	https://www.ruyile.com/xy_m/zhongxue/def/img/lanbt.jpg	C:/Users/dujunda/Documents/WebDev/ga/web/images/lanbt.jpg	(from https://www.ruyile.com/xy_m/zhongxue/def/css/zhongxue.css)
11:25:15	451/451	---M--	200	added ('OK')	image/jpeg	etag:%22f65c2cc066fd61:0%22	https://www.ruyile.com/xy_m/zhongxue/def/img/lanbtl.jpg	C:/Users/dujunda/Documents/WebDev/ga/web/images/lanbtl.jpg	(from https://www.ruyile.com/xy_m/zhongxue/def/css/zhongxue.css)
11:25:16	54/54	---M--	200	added ('OK')	image/gif	etag:%2268b02ac066fd61:0%22	https://www.ruyile.com/xy_m/zhongxue/def/img/jth.gif	C:/Users/dujunda/Documents/WebDev/ga/web/images/jth.gif	(from https://www.ruyile.com/xy_m/zhongxue/def/css/zhongxue.css)
